season,week,player_id,player_display_name,position,team,opponent_team,lambda,p_ge1,p_ge2,p_book,n_books,fair_amer,book_amer,sleeper_half_ppr,scoring_tds,scored_anytime
2025,17,00-0036555,Chuba Hubbard,RB,CAR,SEA,0.2507426286076442,0.2217773619696658,0.026643772067964644,0.23529411764705882,7.0,351,325,5.54,0.0,0
2025,17,00-0037816,Romeo Doubs,WR,GB,BAL,0.2504825861479894,0.2215749647259153,0.02659304876812274,0.21164613661814108,8.0,351,372,6.08,0.0,0
2025,17,00-0040743,Tyler Shough,QB,NO,TEN,0.24981001563657448,0.22105124290165745,0.02646204171083022,0.20101010101010103,8.0,352,397,20.99,0.0,0
2025,17,00-0040466,Raheim Sanders,RB,CLE,PIT,0.24824775469160718,0.21983337061085484,0.026158756579680364,0.2777777777777778,8.0,355,260,6.15,0.0,0
2025,17,00-0037263,Tyler Allgeier,RB,ATL,LA,0.2452620958529568,0.21750057849039883,0.025583130367227813,0.3225806451612903,8.0,360,210,5.33,0.0,0
2025,17,00-0038705,Emari Demercado,RB,ARI,CIN,0.2415043036471298,0.2145545764982313,0.024866126442611658,0.18181818181818182,8.0,366,450,5.66,0.0,0
2025,17,00-0034383,Dalton Schultz,TE,HOU,LAC,0.24060125114058667,0.21384495767648204,0.024695070902962746,0.25978407557354927,8.0,368,285,6.84,0.0,0
2025,17,00-0040189,Oronde Gadsden II,TE,LAC,HOU,0.23558975742685914,0.20989525794258046,0.023754673419461914,0.23809523809523808,8.0,376,320,6.79,1.0,1
2025,17,00-0035689,Dawson Knox,TE,BUF,PHI,0.234085826743541,0.20870610119744404,0.02347541469912784,0.25158227848101267,8.0,379,297,4.88,0.0,0
2025,17,00-0037614,John Metchie III,WR,NYJ,NE,0.23047387102058706,0.20584281475211663,0.022810334069223392,0.16666666666666666,8.0,386,500,7.37,0.0,0
2025,17,00-0031610,Darren Waller,TE,MIA,TB,0.22865817949323866,0.20439956042365348,0.022479012306105606,0.2898550724637681,8.0,389,245,8.33,0.0,0
